throat._id,throat.area,throat.direct_length,throat.equivalent_diameter,throat.inscribed_diameter,throat.perimeter,throat.total_length,throat.all,throat.boundary,throat.internal,throat.centroid[0],throat.centroid[1],throat.centroid[2],throat.conns[0],throat.conns[1],pore._id,pore.equivalent_diameter,pore.extended_diameter,pore.inscribed_diameter,pore.label,pore.region_volume,pore.surface_area,pore.all,pore.back,pore.bottom,pore.boundary,pore.front,pore.internal,pore.left,pore.right,pore.top,pore.centroid[0],pore.centroid[1],pore.centroid[2],pore.coords[0],pore.coords[1],pore.coords[2]
23727,1.1815689999999998e-10,0.0001871740716187017,"0,01087","0,01087","0,02174",0.0001882271445421791,True,False,True,0.00188051,0.0008913399999999999,0.0016359349999999998,821,3170,18367.0,3.1299207477840457e-05,3.074500231981277e-05,1.4892362776285866e-05,3367.0,1.6054568787499997e-14,2.2449810999999994e-09,True,False,False,False,False,True,False,False,False,0.0021788915,0.00208372465,0.000933733,0.0021788915,0.00208372465,0.000933733
23728,7.680198499999998e-10,0.00017674619773079127,2.7713171056376783e-05,2.4306059272289273e-05,0.00011413499999999999,0.000193831450443186,True,False,True,0.00035871,0.00013044,0.0016413699999999999,822,1059,18368.0,5.734449241212328e-05,3.605171244382858e-05,2.663801533202635e-05,3368.0,9.873559804312498e-14,9.984258049999997e-09,True,False,False,False,False,True,False,False,False,0.0019513770975609756,0.0021509343902439025,0.0011486055040650406,0.0019513770975609756,0.0021509343902439025,0.0011486055040650406
23729,1.1815689999999998e-10,0.00017254438660949578,"0,01087",1.5372501159906385e-05,"0,02174",0.00017307009578353556,True,False,True,0.00023914,"0,07609",0.0017391999999999998,822,1952,18369.0,9.580607684699297e-05,3.437395858287811e-05,2.4960262026893433e-05,3369.0,4.604450328255e-13,4.8119397524999994e-08,True,False,False,False,False,True,False,False,False,0.0009549700540446303,0.0018522870380055787,0.0005175018253138075,0.0009549700540446303,0.0018522870380055787,0.0005175018253138075
23730,4.726275999999999e-10,0.00013739205454544543,"0,02174",1.5372501159906385e-05,"0,08696",0.0001539265845612096,True,False,True,0.00023370499999999999,0.00015218,0.0017555049999999999,822,2385,18370.0,5.412071456368437e-05,3.919234200954437e-05,1.4892362776285866e-05,3370.0,8.300212063137498e-14,1.0693199449999998e-08,True,False,False,False,False,True,False,False,False,0.0021774796615087037,0.00014596706963249516,0.0015277396034816247,0.0021774796615087037,0.00014596706963249516,0.0015277396034816247
23731,1.2111082249999998e-09,0.00017831722082087075,3.480098023044753e-05,3.074500231981277e-05,0.00015218,0.00019360056748127794,True,False,True,0.000385885,0.00013044,0.0016739799999999998,822,2961,18371.0,0.00016814757092678664,"0,06522",5.580630386086315e-05,3371.0,2.4892608905018747e-12,1.5856655979999997e-07,True,False,False,False,False,True,False,False,False,0.00030932528700419216,0.0018186105904546919,0.0020098808771364077,0.00030932528700419216,0.0018186105904546919,0.0020098808771364077
23732,4.755815224999999e-09,0.00012137337748143961,6.896241893234314e-05,3.919234200954437e-05,0.00047284499999999995,0.0001531192947218062,True,False,True,0.00023914,0.00011413499999999999,0.001690285,822,4007,18372.0,0.00012672989946496934,6.244339574337005e-05,5.302969982873152e-05,3372.0,1.0657022761142497e-12,7.414345474999999e-08,True,False,False,False,False,True,False,False,False,0.0011387528592949683,0.0021333480340463996,0.000689745549864417,0.0011387528592949683,0.0021333480340463996,0.000689745549864417
23733,5.612452749999998e-10,5.049434202862398e-05,2.369061575814356e-05,1.88273919403553e-05,0.000103265,5.181221336019204e-05,True,False,True,0.00102178,0.00120657,0.0012391799999999999,823,3027,18373.0,3.598718448852904e-05,1.88273919403553e-05,9.413696139136847e-06,3373.0,2.4402944556999996e-14,3.5151677749999993e-09,True,False,False,False,False,True,False,False,False,0.001490656019736842,0.0002097838486842105,0.0013756628618421052,0.001490656019736842,0.0002097838486842105,0.0013756628618421052
23734,7.178031674999999e-09,0.00015571875912021192,8.472326525223162e-05,5.8536740698814386e-05,0.00053263,0.0001693434066599374,True,False,True,0.00169572,4.8914999999999995e-05,0.0006739399999999999,824,1378,18374.0,6.41009396125179e-05,4.0671816976070403e-05,3.125811965509589e-05,3374.0,1.3790874588462497e-13,1.2554170624999998e-08,True,False,False,False,False,True,False,False,False,0.00029033909196740393,0.0012849694004656576,0.002142857892898719,0.00029033909196740393,0.0012849694004656576,0.002142857892898719
23735,6.794021749999998e-10,0.00010400582776860257,2.6065344329204627e-05,"0,02174",0.00011413499999999999,0.0001240071276760788,True,False,True,0.0016033249999999998,5.9785e-05,0.0006685049999999999,824,2349,18375.0,4.347553539629849e-05,2.4306059272289273e-05,1.4892362776285866e-05,3375.0,4.3026244350499996e-14,5.376138949999999e-09,True,False,False,False,False,True,False,False,False,0.0007004660447761193,0.0020703902425373132,0.0008146618843283581,0.0007004660447761193,0.0020703902425373132,0.0008146618843283581
23736,8.861767499999998e-10,0.00012601745273329025,2.9768721000405775e-05,"0,02174",0.00013587499999999998,0.00013537442237659627,True,False,True,0.0016304999999999998,0.00011413499999999999,0.00066307,824,3047,18376.0,4.7385248871073395e-05,3.074500231981277e-05,2.133130670685424e-05,3376.0,5.570935369262499e-14,6.616786399999999e-09,True,False,False,False,False,True,False,False,False,0.0003822668876080691,0.0012237991066282419,0.0016851319308357347,0.0003822668876080691,0.0012237991066282419,0.0016851319308357347
