,d,beta_0,beta_1,beta_2,G
47,5.022694143158552e-05,0.04794218173806142,0.7614270725284176,0.7614270725284176,0.010897646223932404
48,5.861893798402786e-05,0.11839981499364981,0.11839981499364981,1.333996696807597,0.014659112431616023
49,2.339587483972071e-05,0.052533252520034955,0.052533252520034955,1.4657298217548267,0.0065545316052809536
50,5.430425395936566e-05,0.2842425234585037,0.2842425234585037,1.002311279877889,0.033402121469953104
51,4.741300486979125e-05,0.020353835098207842,0.020353835098207842,1.5300886565984808,0.002543526328851762
52,2.6899302637912863e-05,0.23282915990990213,0.23282915990990213,1.1051380069750922,0.027974463290980023
53,2.4937660960245918e-05,0.06940164240031504,0.06940164240031504,1.4319930419942666,0.00864717362056466
54,3.227795526623278e-05,0.20070711932883026,0.20070711932883026,1.169382088137236,0.024378198970113507
55,2.7589333129223628e-05,0.06115554762007136,0.7548203895874126,0.7548203895874126,0.013544581353994714
56,6.629972397451086e-05,0.1445100664243694,0.1445100664243694,1.2817761939461578,0.017805332077639614
57,5.400525078023207e-05,0.12382393988750917,0.7234861934536937,0.7234861934536937,0.024274158643332558
58,3.1882946093984145e-05,0.04715541182157733,0.04715541182157733,1.4764855031517419,0.0058856631474378494
59,4.8444262627827985e-05,0.0503781940948352,0.0503781940948352,1.470039938605226,0.006286584207405175
60,4.78316025717201e-05,0.362973165517134,0.362973165517134,0.8448499957606286,0.04062689985756188
61,2.3636860544217376e-05,0.0901724624600222,0.7403119321674372,0.7403119321674372,0.018869661378398152
62,6.19854255208035e-05,0.06545260761852284,0.06545260761852284,1.4398911115578508,0.008158078558180525
63,4.026597463490654e-05,0.25040571989044147,0.6601953034522275,0.6601953034522275,0.03854674590180581
64,2.724354945231624e-05,0.40574907880973476,0.40574907880973476,0.759298169175427,0.043788584130268385
65,2.9546002933329667e-05,0.2681054569012442,0.6513454349468262,0.6513454349468262,0.039913064975796816
66,4.453200685325802e-05,0.20459079674838376,0.6831027650232564,0.6831027650232564,0.03435479119671461
67,5.560121871248763e-05,0.019897080766407393,0.7754496230142446,0.7754496230142446,0.004780828481577411
68,6.924692288505036e-05,0.40807484997994903,0.40807484997994903,0.7546466268349985,0.04394122659084482
69,6.373932508675218e-05,0.23131443073176314,0.23131443073176314,1.1081674653313702,0.027808044257904094
70,4.4952084195044666e-05,0.32219179409436904,0.6243022663502638,0.6243022663502638,0.043314522867749734
71,2.5338999699685427e-05,0.22503639612296622,0.22503639612296622,1.1207235345489641,0.027114782536320357
72,6.56606403494821e-05,0.0019019749590090118,0.7844471759179438,0.7844471759179438,0.0004736889913325576
73,3.824579804431422e-05,0.4712850765840628,0.5497556251054169,0.5497556251054169,0.047835363645794535
74,3.1329393844971404e-05,0.026881020556419832,0.7719576531192384,0.7719576531192384,0.006369993872942739
75,6.362159311727138e-05,0.19478097521626814,0.6880076757893142,0.6880076757893142,0.03332447748812038
76,2.6817917587961882e-05,0.13017088430084056,0.13017088430084056,1.3104545581932154,0.016083451041573507
77,3.181900800764099e-05,0.03735359203082922,0.7667213673820337,0.7667213673820337,0.008670057330389877
78,4.9769962267618924e-05,0.054222754181641165,0.054222754181641165,1.4623508184316143,0.006764508319528779
79,4.819613045393572e-05,0.1845739834970932,0.6931111716489017,0.6931111716489017,0.03219918105726208
80,6.794673659916482e-05,0.06673372168598846,0.752031302554454,0.752031302554454,0.014619195517784817
81,4.2661966661179966e-05,0.24709103065880447,0.24709103065880447,1.0766142654772877,0.029524467527963418
82,2.644790372892701e-05,0.3585413710511105,0.606127477871893,0.606127477871893,0.045014046412180264
83,5.802838383836946e-05,0.07842224657182406,0.07842224657182406,1.4139518336512484,0.009762266210745692
84,3.0081703755705745e-05,0.046103477107365225,0.046103477107365225,1.4785893725801662,0.00575474584007077
85,2.8786493160659064e-05,0.09017026365787784,0.7403130315685094,0.7403130315685094,0.01886928206720276
86,4.185590063254053e-05,0.28438038725423975,0.28438038725423975,1.002035552286417,0.033416034122059575
87,3.7013040142390605e-05,0.43354469216744834,0.43354469216744834,0.7037069424599999,0.04546474757960401
88,6.836265542802841e-05,0.03361748926121,0.7685894187668433,0.7685894187668433,0.007860743927116241
89,2.715130385437856e-05,0.1806609737999027,0.1806609737999027,1.209474379195091,0.022069854211811433
90,6.222792664030585e-05,0.10819188980803074,0.10819188980803074,1.354412547178835,0.013416828867827609
91,5.347030699903311e-05,0.07908302934941175,0.07908302934941175,1.412630268096073,0.009843825649806673
92,2.5465245403977268e-05,0.11984789075216642,0.11984789075216642,1.3311005452905638,0.014834824160138973
93,2.4412677001463684e-05,0.3354169868136059,0.3354169868136059,0.8999623531676848,0.038278783303906355
94,6.832310206386947e-05,0.035767009111631956,0.035767009111631956,1.4992623085716326,0.004467056792873579
95,2.9714874260650308e-05,0.2960729400783333,0.6373616933582816,0.6373616933582816,0.0418107047026058
96,2.4095003000917242e-05,0.2708361990957222,0.6499800638495872,0.6499800638495872,0.04011214997482897
97,3.3469234763993165e-05,0.27833858385136157,0.27833858385136157,1.0141191590921734,0.03280280762308229
98,5.250652590065663e-05,0.0647108021707099,0.7530427623120933,0.7530427623120933,0.014232370099511234
99,4.733886226723299e-05,0.06411619792348051,0.06411619792348051,1.4425639309479354,0.007992442443151039
