,d,beta_0,beta_1,beta_2,G,pce,path,P1,P2
39,6.444757021979904e-06,0.08700182532844747,0.7418972507332245,0.7418972507332245,0.018318999181800053,13434.270920914596,False,43,44
40,3.261698450693425e-05,0.008236340857066633,0.008236340857066633,1.5543236450807634,0.0010294960420925386,1985.258063593229,True,44,45
41,3.261698450693425e-05,0.02304220901507801,0.02304220901507801,1.5247119087647405,0.002879255913840426,2125.271176715889,True,45,46
42,3.892769790957913e-05,0.2735565128060582,0.6486199069944192,0.6486199069944192,0.040307435884420255,2579.5603957087483,True,46,47
43,5.017671449015393e-05,0.28803188536723684,0.28803188536723684,0.9947325560604229,0.03378314013900976,1929.7462650699274,True,47,48
44,2.337247896488099e-05,0.035930104170674305,0.035930104170674305,1.498936118453548,0.004487391129914099,3086.5024035429087,True,48,49
45,9.48260097395825e-06,0.33312039182362435,0.33312039182362435,0.9045555431476479,0.038073492233923444,10463.683174875445,False,50,51
46,5.379860527582573e-06,0.09134285504627782,0.7397267358743094,0.7397267358743094,0.01907106035866123,16201.587884262977,False,51,52
47,4.987532192049184e-06,0.05604180550201348,0.05604180550201348,1.4587127157908697,0.006990498187720008,15168.173670171313,False,52,53
48,4.987532192049184e-06,0.44028324125857754,0.5652565427681595,0.5652565427681595,0.047387335468588504,20850.920598401586,False,53,54
49,5.517866625844726e-06,0.04586704648174202,0.04586704648174202,1.4790622338314126,0.005725317577828978,13406.178599177954,False,54,55
50,5.517866625844726e-06,0.0543801862867637,0.0543801862867637,1.4620359542213692,0.006784070535715551,13662.713574530997,False,55,56
51,1.0801050156046416e-05,0.2848188388553219,0.6429887439697873,0.6429887439697873,0.0410842175119449,9334.604871684145,False,56,57
52,6.376589218796829e-06,0.21102227026700926,0.6798870282639436,0.6798870282639436,0.03500380593282718,15294.129137418024,False,57,58
53,6.376589218796829e-06,0.013671904276486346,0.7785622112592051,0.7785622112592051,0.0033259862028807,11001.591111415793,False,58,59
54,4.727372108843475e-06,0.2505776876864675,0.2505776876864675,1.0696409514219616,0.029898566218654818,19995.29396960346,False,60,61
